city_name,clouds,humidity,lat,lon,temp,wind_speed
Nishihara,1,54,21.440552769561094,131.6838278216414,56.32,1.52
Barrow,68,29,87.73909008754555,-166.92025172015212,67.34,14.83
Carnarvon,32,52,-21.201588131545023,104.37132388447452,53.12,6.11
Jamestown,32,96,-25.932513524252343,-13.166444229118781,62.75,4.09
Avera,1,16,-31.417880382386173,-156.8241254384775,53.6,12.75
Mahebourg,40,78,-30.33974304203955,67.79595943560153,80.6,17.22
Vardo,90,47,83.2802877013857,36.47008828095491,34.41,24.16
Kirkuk,36,68,35.72750479984168,44.71444447462443,52.31,7.23
Kaitangata,80,58,-61.48735217473333,174.71201143023058,65.63,15.5
Montepuez,8,91,-12.63930612448523,38.136389682903825,65.99,2.75
Iqaluit,40,70,58.70125619178239,-69.79348016415359,-4.01,13.87
Hermanus,92,99,-86.81557522175632,-12.684953274429432,62.84,3.53
Albany,75,69,-54.11315048068342,110.92621980310463,31.62,13.87
Qaanaaq,48,98,85.48393447639637,-68.50440068581324,-9.26,1.74
Hobart,75,59,-70.66326620709287,141.6882679464028,60.8,2.24
Tual,88,100,-6.623468940323832,135.5381532203602,80.48,19.08
Yellowknife,75,64,86.2007975683353,-109.69758748200466,33.8,9.17
Barrow,68,29,71.85315850947671,-151.7653701052834,67.34,14.83
Havoysund,75,85,75.6219226862764,25.16658555028485,19.4,3.36
Georgetown,20,78,-12.652425478177364,-17.194485791921608,77.0,4.7
Mataura,76,68,-53.770747871957845,-158.92568996937865,64.46,16.73
Hilo,90,94,3.7258900815682665,-157.58743587598812,67.42,6.93
New Norfolk,75,51,-55.98475908639438,134.53499567873433,60.8,11.41
Nanortalik,0,100,59.63164744102701,-41.32897637488102,24.05,10.8
Hermanus,92,99,-61.88794853188783,3.9295699404912057,62.84,3.53
Mar del Plata,12,47,-48.94961057174034,-42.1837702761386,56.18,16.17
Alice Springs,0,55,-20.457489871148525,133.81355239643108,64.4,1.12
Vaini,36,70,-49.08183658124442,-178.87873904015606,72.74,2.53
Saldanha,92,98,-36.407997458579196,4.0355185996246234,43.4,13.6
Vao,0,79,-24.307319008121524,169.13498395096173,19.91,8.79
Kodiak,1,17,45.77737724069982,-151.36014788551537,66.2,13.87
Busselton,80,100,-43.50575988033975,110.65779364929762,69.14,10.58
Toyooka,75,59,36.429695294981116,134.83002376997092,60.8,9.17
Manjacaze,8,68,-25.73119825971507,35.30150094886392,73.28,7.67
Vardo,90,47,76.04506911245346,34.641652182508324,34.41,24.16
Sola,90,78,-13.222372471288097,171.24032874864935,15.8,14.99
Vaini,36,70,-30.500376424006554,-171.66796924249797,72.74,2.53
Matagami,0,44,51.96464429532878,-76.36899917278461,66.98,4.76
Vardo,90,47,74.46481931143919,34.29335009892074,34.41,24.16
Thompson,75,37,64.12352400440128,-101.51889538941805,17.6,4.7
Cabo San Lucas,20,32,18.44646895099372,-115.51779685209077,83.35,8.05
Yankton,1,47,42.570689133312726,-97.8719472929076,59.0,6.93
Terra Rica,20,88,-22.73000349749806,-52.72197458884001,77.87,3.09
Saskylakh,12,90,81.97307048609852,110.62480954880618,-40.58,4.21
Luderitz,0,77,-27.742075674089584,10.78348101440298,64.4,12.75
Saskylakh,12,90,76.57953290907787,108.37939834715144,-40.58,4.21
Sitka,0,25,46.045868986614835,-139.10257500441787,66.71,20.09
Saldanha,92,98,-37.678119441456715,7.955858200964059,43.4,13.6
Srandakan,36,88,-8.643472549492898,109.56077264458406,74.0,2.42
Cape Town,75,82,-76.82636108651144,-7.74850133548469,64.4,13.87
Hermanus,92,99,-52.14886801287334,14.424363689087897,62.84,3.53
Namibe,24,100,-16.007148581377706,5.317242936423128,75.8,4.21
Bambous Virieux,40,78,-29.220644665404798,84.51143262557127,80.6,17.22
Adrar,0,34,28.960049262426296,-2.3281824537768614,69.8,5.82
Bluff,0,46,-69.07775922510858,155.34384568599762,81.65,9.46
San Cristobal,75,48,-1.0974529124203372,-87.005131139934,64.4,20.8
Chuy,0,72,-67.24954332782153,-20.876108750723233,71.93,17.07
Huarmey,48,72,-15.840607909602312,-89.72551197599695,70.13,3.2
Kaitangata,80,58,-54.12433307744111,171.8453917205103,65.63,15.5
Georgetown,20,78,-2.4237003329741356,-21.311091023102534,77.0,4.7
Robertsport,8,100,5.00754938013344,-12.964696976656626,79.58,9.8
Kavieng,64,99,1.566907248357964,154.03948687624717,84.8,7.45
Rikitea,0,100,-33.51254277193839,-105.43029354385595,82.1,8.23
Oranjemund,48,98,-31.200304023951837,14.27869961988938,63.74,7.0
Ponta do Sol,32,74,25.68123667122454,-31.450527814011934,74.63,4.65
Ushuaia,20,75,-55.29947382161317,-61.98671930251484,42.8,24.16
Clyde River,1,68,68.5243760006214,-79.81720196377266,-20.21,17.22
Vaini,36,70,-26.61541921637827,-177.49191673893185,72.74,2.53
Albany,75,69,-83.03153365318671,102.76105807360892,31.62,13.87
Rikitea,0,100,-51.39106121485673,-139.5908698506225,82.1,8.23
Karak,0,66,30.14780804461573,66.36028438671022,50.0,2.64
Cabo San Lucas,20,32,19.747281171561127,-112.84025698764064,83.35,8.05
ChengDe,12,50,40.91232785377102,118.42095976618538,29.9,12.15
Gweta,0,55,-20.562013387660457,24.8803618827302,66.98,6.67
Pangnirtung,40,76,63.74031056009542,-63.673290395692916,-11.21,4.7
Mahebourg,40,78,-26.768530465874292,64.61640615688026,80.6,17.22
Hobart,75,59,-77.25473209623226,135.75834172224154,60.8,2.24
Punta Arenas,75,98,-63.75651071956045,-90.37715647179552,46.4,16.11
Hilo,90,94,3.5263973365461396,-150.74333105137168,67.42,6.93
Bandar-e Lengeh,0,100,26.21656264027925,53.86594075790825,72.11,3.42
Andra,80,88,63.71810627423588,66.12312225863823,19.73,3.2
Port Alfred,80,92,-51.96772612087249,37.3896177644441,66.44,7.45
Codrington,92,82,25.78467987159617,-51.44780709462785,71.66,7.11
Thompson,75,37,63.916986071659636,-95.80539024882155,17.6,4.7
Sibu,75,100,2.655171463637373,112.10869163606691,77.0,3.36
Laguna,90,34,-30.01761102689992,-47.04098252824974,82.4,4.7
Chuy,0,72,-62.47244417355671,-22.846721076701982,71.93,17.07
Punta Arenas,75,98,-63.84810519982433,-87.48791636586863,46.4,16.11
Farafangana,44,100,-23.280039857209772,50.47022281130643,75.8,4.21
Pangnirtung,40,76,66.07922281593619,-62.069448054002976,-11.21,4.7
Nantucket,20,74,36.359107065260844,-69.06916064435482,36.07,21.92
Nueve de Julio,0,44,-36.10737489659474,-61.271593800351525,68.51,3.98
Isangel,20,96,-23.76381436738515,177.9328783421593,83.36,14.61
Pisco,0,73,-21.684688680258944,-85.92829897542724,73.4,19.46
Lodja,36,98,-2.3583522169770674,21.73282001456093,70.85,2.19
Mataura,76,68,-80.02388571049052,-159.93684602119873,64.46,16.73
Ushuaia,20,75,-72.34780951831505,-52.955982586877454,42.8,24.16
Ust-Koksa,8,71,50.54351681216622,85.523772838181,8.93,1.97
Mataura,76,68,-55.61318417177805,-156.33055286595732,64.46,16.73
Ushuaia,20,75,-72.3751501198139,-64.56551721898944,42.8,24.16
Charlestown,1,59,16.772507676581995,-62.41338311644857,37.2,8.05
Zaysan,92,99,47.52830337331693,86.36093726862396,29.18,2.75
East London,0,100,-79.88583729556414,54.292908992212574,69.5,8.46
Kendari,92,81,-3.086497208585101,121.5047910689903,79.13,3.76
Rikitea,0,100,-82.99181289544698,-132.6199569612213,82.1,8.23
Kosh-Agach,48,73,49.22717872922803,89.02182539813231,6.68,2.75
Gushikawa,1,72,22.78241838917701,133.3246464900626,68.61,12.75
Saint-Pierre,0,75,43.45091520124794,-55.33967214281488,46.6,17.22
Yellowknife,75,64,74.99157833019635,-111.98198178578163,33.8,9.17
Vaini,36,70,-21.879232372036057,-175.14719201248334,72.74,2.53
Leningradskiy,12,99,88.84405637142416,176.76243450641329,-16.82,4.43
